Molecule Name,SMILES,Collections,A. stephenis hand-to-cage repellent testing: Experiment number,A. stephenis hand-to-cage repellent testing: Duration of recording (Min.),A. stephenis hand-to-cage repellent testing: Concentration (µg/cm2),A. stephenis hand-to-cage repellent testing: Evaporation time (Min.),A. stephenis hand-to-cage repellent testing: Compound volume (ml),A. stephenis hand-to-cage repellent testing: Surface (cm2),A. stephenis hand-to-cage repellent testing: Material,A. stephenis hand-to-cage repellent testing: Volunteer,A. stephenis hand-to-cage repellent testing: Volunteer alias,A. stephenis hand-to-cage repellent testing: Test Date,A. stephenis hand-to-cage repellent testing: Repellency (%),A. stephenis hand-to-cage repellent testing: Average repellency (%),A. stephenis hand-to-cage repellent testing: Average repellency (%) Standard Deviation (±),A. stephenis hand-to-cage repellent testing: Average repellency (%) Count,A. stephenis hand-to-cage repellent testing: Concentration percentage (%)
TQ-0043590,CC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Batch 6 repellents, Expansion set 4, Tested on Culex",22MVLO320,5,,360,1,37.5,Cheese cloth,,C,3-Jun,88.9,71.2,21.5,12,0.5
TQ-0043590,CC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Batch 6 repellents, Expansion set 4, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,8-Jun,95.2,71.2,21.5,12,0.5
TQ-0043590,CC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Batch 6 repellents, Expansion set 4, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,57.1,71.2,21.5,12,0.5
TQ-0043590,CC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Batch 6 repellents, Expansion set 4, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,87.5,71.2,21.5,12,0.5
TQ-0043589,CCC(=O)Oc1c(C)occc1=O,"Batch 6 repellents, Tested on Culex",22JKON029,5,,360,1,37.5,cheese cloth,Jessica,D,12/9/2022,66.7,51.8,28.7,12,
TQ-0043589,CCC(=O)Oc1c(C)occc1=O,"Batch 6 repellents, Tested on Culex",22JKON023,5,,360,1,37.5,cheese cloth,Jessica,D,6/9/2022,37.9,51.8,28.7,12,
TQ-0043589,CCC(=O)Oc1c(C)occc1=O,"Batch 6 repellents, Tested on Culex",22JKON023,5,,360,1,37.5,cheese cloth,Jessica,D,6/9/2022,24.1,51.8,28.7,12,
TQ-0043589,CCC(=O)Oc1c(C)occc1=O,"Batch 6 repellents, Tested on Culex",22LBER037,5,,360,1,37.5,Cheese cloth,,A,,71.4,51.8,28.7,12,0.5
TQ-0043589,CCC(=O)Oc1c(C)occc1=O,"Batch 6 repellents, Tested on Culex",22LBER038,5,,360,1,37.5,Cheese cloth,,A,,77.8,51.8,28.7,12,0.5
TQ-0043589,CCC(=O)Oc1c(C)occc1=O,"Batch 6 repellents, Tested on Culex",22LBER044,5,,360,1,37.5,Cheese cloth,,A,,85.7,51.8,28.7,12,0.5
