Molecule Name,SMILES,Collections,A. stephenis hand-to-cage repellent testing: Experiment number,A. stephenis hand-to-cage repellent testing: Duration of recording (Min.),A. stephenis hand-to-cage repellent testing: Concentration (µg/cm2),A. stephenis hand-to-cage repellent testing: Evaporation time (Min.),A. stephenis hand-to-cage repellent testing: Compound volume (ml),A. stephenis hand-to-cage repellent testing: Surface (cm2),A. stephenis hand-to-cage repellent testing: Material,A. stephenis hand-to-cage repellent testing: Volunteer,A. stephenis hand-to-cage repellent testing: Volunteer alias,A. stephenis hand-to-cage repellent testing: Test Date,A. stephenis hand-to-cage repellent testing: Repellency (%),A. stephenis hand-to-cage repellent testing: Average repellency (%),A. stephenis hand-to-cage repellent testing: Average repellency (%) Standard Deviation (±),A. stephenis hand-to-cage repellent testing: Average repellency (%) Count,A. stephenis hand-to-cage repellent testing: Concentration percentage (%)
TQ-0043689,CCOC(C)=C(C#N)C#N,"Batch 6.2, Tested on Culex",22LBER044,5,,360,1,37.5,Cheese cloth,,A,,100,94.5,8.28,13,0.5
TQ-0043689,CCOC(C)=C(C#N)C#N,"Batch 6.2, Tested on Culex",22LBER047,5,,360,1,37.5,Cheese cloth,,B,,100,94.5,8.28,13,0.5
TQ-0043689,CCOC(C)=C(C#N)C#N,"Batch 6.2, Tested on Culex",22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,100,94.5,8.28,13,0.5
TQ-0043689,CCOC(C)=C(C#N)C#N,"Batch 6.2, Tested on Culex",22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,100,94.5,8.28,13,0.5
TQ-0043689,CCOC(C)=C(C#N)C#N,"Batch 6.2, Tested on Culex",22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,100,94.5,8.28,13,0.5
TQ-0043689,CCOC(C)=C(C#N)C#N,"Batch 6.2, Tested on Culex",22MVLO321,5,,360,1,37.5,Cheese cloth,,C,,85.7,94.5,8.28,13,0.5
TQ-0043689,CCOC(C)=C(C#N)C#N,"Batch 6.2, Tested on Culex",22MVLO321,5,,360,1,37.5,Cheese cloth,,C,,77.3,94.5,8.28,13,0.5
TQ-0043689,CCOC(C)=C(C#N)C#N,"Batch 6.2, Tested on Culex",22MVLO321,5,,360,1,37.5,Cheese cloth,,C,,81.2,94.5,8.28,13,0.5
TQ-0043684,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C(O)O,"Batch 6.2, Tested on Culex",22JKON029,5,,360,1,37.5,cheese cloth,Jessica,D,12/9/2022,0,37,25.4,8,
TQ-0043684,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C(O)O,"Batch 6.2, Tested on Culex",22JKON023,5,,360,1,37.5,cheese cloth,Jessica,D,6/9/2022,32.1,37,25.4,8,
TQ-0043684,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C(O)O,"Batch 6.2, Tested on Culex",22JKON023,5,,360,1,37.5,cheese cloth,Jessica,D,6/9/2022,19.2,37,25.4,8,
TQ-0043684,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C(O)O,"Batch 6.2, Tested on Culex",22LBER037,5,,360,1,37.5,Cheese cloth,,A,,35.7,37,25.4,8,0.5
TQ-0043684,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C(O)O,"Batch 6.2, Tested on Culex",22LBER038,5,,360,1,37.5,Cheese cloth,,A,,80,37,25.4,8,0.5
TQ-0043684,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C(O)O,"Batch 6.2, Tested on Culex",22LBER046,5,,360,1,37.5,Cheese cloth,,A,,28.6,37,25.4,8,0.5
TQ-0043684,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C(O)O,"Batch 6.2, Tested on Culex",22RHEN034,5,,360,1,37.5,Cheese cloth,,B,,66.7,37,25.4,8,0.5
TQ-0043684,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C(O)O,"Batch 6.2, Tested on Culex",22RHEN034,5,,360,1,37.5,Cheese cloth,,B,,33.3,37,25.4,8,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22JKON079,5,,360,1,37.5,cheese cloth,Jessica,D,22-11-2011,91.9,86.2,11.9,21,
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22JKON079,5,,360,1,37.5,cheese cloth,Jessica,D,22-11-2011,88.9,86.2,11.9,21,
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER037,5,,360,1,37.5,Cheese cloth,,A,,88.9,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER038,5,,360,1,37.5,Cheese cloth,,A,,75,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER039,5,,360,1,37.5,Cheese cloth,,A,,60,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER042,5,,360,1,37.5,Cheese cloth,,A,,90,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER043,5,,360,1,37.5,Cheese cloth,,A,,89.5,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER044,5,,360,1,37.5,Cheese cloth,,A,,70,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER045,5,,360,1,37.5,Cheese cloth,,A,,89.5,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER046,5,,360,1,37.5,Cheese cloth,,A,,66.7,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER047,5,,360,1,37.5,Cheese cloth,,B,,100,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22MVLO318,5,,360,1,37.5,Cheese cloth,,C,31-May-22,66.7,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22MVLO319,5,,360,1,37.5,Cheese cloth,,C,1-Jun-22,80,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22MVLO320,5,,360,1,37.5,Cheese cloth,,C,3-Jun,88.2,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,100,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,87,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,96.2,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22RHEN034,5,,360,1,37.5,Cheese cloth,,B,,93.3,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,93.3,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,95.5,86.2,11.9,21,0.5
TQ-0043681,CCC(C)OC(=O)N1CCCCC1CCO,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,100,86.2,11.9,21,0.5
TQ-0043680,COC(=O)c1ccc(C(=O)OC)o1,"Batch 6.2, Glomeruli Aedes",22LBER042,5,,360,1,37.5,Cheese cloth,,A,,30,17.2,32.8,3,0.5
TQ-0043680,COC(=O)c1ccc(C(=O)OC)o1,"Batch 6.2, Glomeruli Aedes",22LBER045,5,,360,1,37.5,Cheese cloth,,A,,41.7,17.2,32.8,3,0.5
TQ-0043680,COC(=O)c1ccc(C(=O)OC)o1,"Batch 6.2, Glomeruli Aedes",22LBER045,5,,360,1,37.5,Cheese cloth,,A,,-20,17.2,32.8,3,0.5
TQ-0043674,CC(N(C)C)c1cccc(O)c1,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER039,5,,360,1,37.5,Cheese cloth,,A,,-11.1,-23.7,12,3,0.5
TQ-0043674,CC(N(C)C)c1cccc(O)c1,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER046,5,,360,1,37.5,Cheese cloth,,A,,-35,-23.7,12,3,0.5
TQ-0043674,CC(N(C)C)c1cccc(O)c1,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER046,5,,360,1,37.5,Cheese cloth,,A,,-25,-23.7,12,3,0.5
TQ-0043668,Cc1[nH]c2ccccc2c1C,"Batch 6.2, Tested on Culex",22JKON012,5,130,360,1,37.5,cheese cloth,Jessica,D,23-8-2022,100,94.6,8.14,13,
TQ-0043668,Cc1[nH]c2ccccc2c1C,"Batch 6.2, Tested on Culex",22JKON004,5,130,360,1,37.5,cheese cloth,Jessica,D,15-8-2022,100,94.6,8.14,13,
TQ-0043668,Cc1[nH]c2ccccc2c1C,"Batch 6.2, Tested on Culex",22JKON004,5,130,360,1,37.5,cheese cloth,Jessica,D,15-8-2022,93.3,94.6,8.14,13,
TQ-0043668,Cc1[nH]c2ccccc2c1C,"Batch 6.2, Tested on Culex",22LBER039,5,,360,1,37.5,Cheese cloth,,A,,100,94.6,8.14,13,0.5
TQ-0043668,Cc1[nH]c2ccccc2c1C,"Batch 6.2, Tested on Culex",22LBER044,5,,360,1,37.5,Cheese cloth,,A,,75,94.6,8.14,13,0.5
TQ-0043668,Cc1[nH]c2ccccc2c1C,"Batch 6.2, Tested on Culex",22LBER044,5,,360,1,37.5,Cheese cloth,,A,,100,94.6,8.14,13,0.5
TQ-0043668,Cc1[nH]c2ccccc2c1C,"Batch 6.2, Tested on Culex",22LBER047,5,,360,1,37.5,Cheese cloth,,B,,85.7,94.6,8.14,13,0.5
TQ-0043668,Cc1[nH]c2ccccc2c1C,"Batch 6.2, Tested on Culex",22MVLO318,5,,360,1,37.5,Cheese cloth,,C,31-May-22,100,94.6,8.14,13,0.5
TQ-0043668,Cc1[nH]c2ccccc2c1C,"Batch 6.2, Tested on Culex",22MVLO319,5,,360,1,37.5,Cheese cloth,,C,1-Jun-22,100,94.6,8.14,13,0.5
TQ-0043668,Cc1[nH]c2ccccc2c1C,"Batch 6.2, Tested on Culex",22MVLO320,5,,360,1,37.5,Cheese cloth,,C,3-Jun,100,94.6,8.14,13,0.5
TQ-0043668,Cc1[nH]c2ccccc2c1C,"Batch 6.2, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,8-Jun,100,94.6,8.14,13,0.5
TQ-0043668,Cc1[nH]c2ccccc2c1C,"Batch 6.2, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,90.3,94.6,8.14,13,0.5
TQ-0043668,Cc1[nH]c2ccccc2c1C,"Batch 6.2, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,85.7,94.6,8.14,13,0.5
TQ-0043661,COC=C(C(=O)OC)C(=O)OC,Batch 6.2,22RHEN055,5,130,360,,37.5,Cheese cloth,Rob,B,11-okt,6.25,27.5,23.9,6,
TQ-0043661,COC=C(C(=O)OC)C(=O)OC,Batch 6.2,22RHEN055,5,130,360,,37.5,Cheese cloth,Rob,B,12-okt,71.4,27.5,23.9,6,
TQ-0043661,COC=C(C(=O)OC)C(=O)OC,Batch 6.2,22RHEN055,5,130,360,,37.5,Cheese cloth,Rob,B,11-okt,31.8,27.5,23.9,6,
TQ-0043661,COC=C(C(=O)OC)C(=O)OC,Batch 6.2,22JKON029,5,,360,1,37.5,cheese cloth,Jessica,D,12/9/2022,27.3,27.5,23.9,6,
TQ-0043661,COC=C(C(=O)OC)C(=O)OC,Batch 6.2,22JKON023,5,,360,1,37.5,cheese cloth,Jessica,D,6/9/2022,21.1,27.5,23.9,6,
